"Name","Id","Mark","La","Tut","Genr","DropF","DropL","Data"

"Algoritmy: teoriya i praktika", 217,4.8,"ru","Kulikov","A",                        0,0,"25176;22378;9627;!17800;!16840;10229;14324;6959;!!!!!!!!!!9218;9242;8601;!6297;6071;!7957;6161;5774;!!!!!!!6707;!!!5021;!3778;!!!4732;!3833;2907;!!!!!!4453;2283;!3820;!3481;!!!3202;3029;3868;!!!!!"

"Osnovy statistiki. CHast' 1",76,4.9,"ru","Karpov","M",                            1,0,"98261;87722;!89127;88376;83977;83882;!77296;78178;75988;77096;!71600;71447;70691;69854;69340;69324;!66360;65372;65154;61918;62332;62045;62363;!56303;!58063;56444;56348;54446;55309;53911;53742;!52857;49158;51018;43862;!44124;47219;47123;46554;!44147;44290;43201;41018;42851;42075;!39566;38238;!35982;35685;34284;33866;33175;!31434;33233;32877;31529;!31142;28321;30746;!29040;28909;28850;!28016;27958;25317;27523;27485;27483;27202;27455;!!28707;29290;28666;28958;25973;!27469;27123;27870;27816;!26735;26541;23104;!26487;26352;24811;!25927;25925;25843;!25570;25334;25162;24219;23028;!24960;21874;24781;!24272;22861;20722;23848;!21208;22239;20224;23323;!22486;!!!"

"Osnovy statistiki. CHast' 2",524,4.9,"ru","Karpov","M",                           1,2,"9377;9615;9612;9446;!8932;8258;8076;7821;!8410;7831;8076;!7422;6854;6762;6749;7127;6755;6691;6652;!6572;6800;!6903;6598;6093;6456;6090;6218;6411;6445;!6460;6376;!5373;5250;5039;5095;5165;!5325;5029;4842;4798;5143;!4531;4776;4559;4774;4582;!4547;4192;!3959;3796;4152;3778;!4524;!4372;4376;4365;!4243;4545;4430;4538;4528;!4404;4358;!3590;4204;4120;!4241;4068;3986;!3838;4054;3905;!"

"Osnovy statistiki. CHast' 3",2152,4.9,"ru","Karpov","M",                          1,1,"3011;!!2308;2157;!1981;2030;2057;!1917;1887;!1959;1990;!1799;1664;1778;1793;1799;!!1887;1833;1772;!1770;1711;1667;1515;!1528;1536;1536;!1814;1745;1676;1606;1555;!1828;446;1271;!!"

"Vvedenie v matematicheskij analiz",95,4.8,"ru","Hrabrov","M",                      0,0,"!!!4488;3489;!3515;!2624;2485;!2612;2655;1943;!2340;1955;2128;2210;2207;1350;!2080;1897;1925;1837;2013;!1843;1792;1749;1503;!1725;1696;!1810;1651;!1559;1615;1563;1441;1468;!1439;1339;1283;1306;1000;1056;928;!1756;1449;1370;!1446;1429;803;1200;1157;!1352;1400;!1435;1462;1469;1453;1141;1056;!1265;1053;998;1212;!1337;1311;1243;1142;780;!1301;1194;!1377;1305;1281;1199;1161;1087;!!1134;!!1018;748;718;!"

"Python: osnovy i primenenie",512,4.8,"ru","Zajcev","P",                           1,0,"54773;39600;!39863;42356;33563;!35942;33481;32399;30706;29435;!31056;30611;19969;!28967;27782;24971;23213;25546;!24518;24387;23723;15803;19440;18828;!22100;20605;13241;18218;!19891;18045;13357;!14353;15063;17336;!15063;13141;!15304;!17145;14716;16147;15714;16180;!14630;14448;!14343;13994;13971;13930;13466;13664;13388;12752;12600;4449;!11528;9075;!11406;8769;!9886;8198;!8666;!!"

"Programmirovanie na Python",67,4.7,"ru","Fedotov","P",                             1,0,"376295;305666;!!!!204713;183939;187987;!177834;176538;176149;176564;177046;!177295;176409;173229;!164482;153095;145835;!142248;143951;143748;!130157;!133994;132487;!129145;124447;117500;116939;111666;103449;107316;!116285;114944;113136;107811;101537;!105533;105061;100072;!90017;91584;!90548;88716;80399;!87890;84134;82601;76095;73762;!71698;68695;67877;52949;47601;!69539;63872;58280;!55782;55440;49998;!!39923;35954;33177;!48801;43832;!30219;28066;!33437;34719;32523;33328;23968;!!!!"

"Postanovka zadachi na razrabotku PO",1128,4.5,"ru","Bezuglyj","P",                  2,2,"13018;10174;12388;!10421;!4686;!4929;4376;4285;3592;4315;!4647;4452;4426;4425;4144;3351;!4031;3907;3912;!3723;3738;3759;!3992;3885;3775;3590;3633;!3309;3151;!3099;!!2754;!!!!!2144;2114;2168;2165;2034;!!1870;2032;1966;1890;!1919;1866;1381;!1864;1725;!1936;1940;1921;!1785;!1819;!1758;1644;!!849;795;!"

"Vvedenie v Linux",73,4.7,"ru","Gurevich","P",                                       1,0,"95853;84684;!76529;73748;71083;!38213;57361;40954;49485;!56068;55205;44925;44090;46970;38655;!43845;42035;35551;!39911;37333;38034;!37705;37090;35596;!35875;35366;34782;29484;!33319;32589;28320;!33603;33396;26621;!30972;29939;29751;23519;!28960;28448;26163;23563;!27768;27619;27752;27621;!26412;26305;25809;25792;19658;!25294;25068;24863;24794;24207;20268;!!26441;20724;19313;20058;19068;15093;!24477;24247;22037;20326;!18763;20336;18843;19899;17404;!17904;19116;17269;16156;14596;13889;!16615;14779;16775;16413;15195;16047;13353;!15261;14601;10943;9951;!13214;11585;13860;13190;13480;!"


"Teoriya veroyatnostej",3089,4.9,"ru","Hrabrov","M",                                0,0,"!10121;9001;8704;!7928;6927;6539;5386;!5908;5334;4114;4767;3586;3550;!4920;3846;3443;!3519;2969;3150;2567;1973;!3102;2954;2542;2583;!2115;2421;2267;1909;!2097;!2527;2448;2547;!2696;2196;2126;1750;!2120;2106;1805;1433;1405;1356;!1774;1853;1637;1594;!1759;1420;!1567;!1148;1220;1006;936;1062;!1427;1194;1156;!1294;!1255;1357;1310;1219;1072;767;!1170;1180;957;954;962;!608;!913;962;!478;761;!1078;!824;762;!597;!1076;527;550;!722;497;!801;737;785;583;551;503;!659;638;602;619;539;446;!364;364;285;447;!"

"Funkcional'noe programmirovanie na yazyke Haskell",75,5.0,"ru","Moskvin","M",      1,0,"9188;!9810;9275;9115;9027;!8596;8500;8291;8233;8207;8036;!7732;7531;7423;7247;7184;7211;6795;!6910;6803;6563;5950;!6376;5491;5297;4567;!5405;5203;5014;4920;!4842;4701;4709;4676;4507;!4578;4612;4590;4515;!4327;4312;4219;4073;!4172;4108;3798;3910;3603;3507;!4083;4008;!4161;4103;3678;4006;3966;3813;3628;!3757;3762;3624;3684;3011;3498;3533;!3476;3397;2659;2647;!3362;3341;3285;3077;3103;!3119;3207;3076;2777;!3145;2853;!3258;3328;3279;3277;2907;3156;3094;!3152;3117;2850;3070;2125;2938;!2724;2915;2945;2827;!2795;2375;2769;2748;2744;1895;2851;2736;2376;2557;!2701;2541;2581;2436;1741;!2276;2188;2502;2007;1952;1851;!2807;2692;2641;2497;!2558;2571;2489;2431;!2382;2389;2371;2332;!2153;1898;2095;!2196;1753;!2112;2121;2038;1854;1852;!1894;1612;1771;1719;!1997;2017;1627;1583;1543;1247;!"

"Funkcional'noe programmirovanie na yazyke Haskell (chast' 2)",693,4.9,"ru","Moskvin","M",                0,0,"1152;1181;1103;1089;!952;1001;1007;977;912;802;!904;921;919;!909;900;892;891;884;867;819;!871;874;822;!899;771;827;836;834;772;!679;772;764;757;747;702;!564;723;687;675;!728;717;696;664;!602;695;675;653;!754;733;716;655;656;546;!681;707;447;499;534;!688;673;665;604;564;553;532;!589;585;537;524;508;496;!496;490;515;494;!527;516;347;442;458;!451;423;462;437;!425;425;412;380;!355;353;332;315;243;!"

"Analiz bezopasnosti veb-proektov",127,4.9,"ru","Rabovolyuk","P",                              2, 1, "13105;12008;11294;11891;!!7359;7256;!7114;7048;!6962;!6502;!!6647;!5555;!4431;!5093;!4848;!4476;!4540;!4516;!3951;!!4281;4189;!3731;!3735;3741;!!3416;!!2811;2979;!2238;!2029;!1957;!1752;1657;!"

"Web-tekhnologii",154,4.6,"ru","Smal'","P",                                               1,1,"36044;!20819;19760;21161;18732;!14982;13958;15585;15541;!13826;10967;13335;12913;!12082;10294;11573;11291;!6521;4773;!8733;7162;7533;8314;!6162;6956;6821;2717;!5753;5112;5388;2127;!5073;4784;1389;!3457;3282;3138;2895;!3278;3204;2427;3296;1102;!2756;2578;2790;3033;!2780;2733;2790;767;!2635;2502;2162;2725;668;!1846;2517;2478;2424;609;!1990;2538;2401;1953;!2577;2049;2190;!1250;1198;!"

"Vvedenie v arhitekturu EVM. Elementy OS",253,4.5,"ru","Krinkin","P",                       1,0,"24223;!16123;14515;15367;10187;9089;10327;9427;!11369;10519;7609;6391;6696;!7692;7995;7581;7313;6720;!6366;!6847;!6772;!6402;!5548;5122;4338;!6895;6500;6579;6241;!6346;5911;6045;5759;!5417;5834;5759;5170;!5031;!5304;5335;4979;4874;!5209;5023;5147;5195;4848;!5353;!5052;5175;4875;4462;!4801;4463;4760;4515;4507;4335;4172;!4666;4676;!4639;4498;4492;!4714;!5529;5597;5399;!6002;5747;5569;!4451;4273;3181;!!"

"Introduction to JavaScript and React",3050,4.5,"en","McGrady","P",                   1,0,"6941;6806;5558;5456;!4329;4160;3831;3855;3604;3513;2223;!2143;1951;1676;1631;!1704;1756;!1650;1532;1517;1389;1244;!1645;1614;1570;1422;1367;1273;1253;!1472;1432;1288;1282;1276;1152;1124;1064;!1156;1039;938;775;831;778;!1028;1146;!1008;1123;1022;978;!968;987;!874;833;813;!915;900;899;895;890;744;!700;557;!759;758;750;747;!456;!411;!689;716;666;662;653;647;!602;596;577;!530;476;509;490;!331;!457;448;!398;!!!299;!588;579;567;556;!498;486;449;!!377;433;418;206;286;!!250;230;!230;!!!!483;276;!418;416;375;!!350;350;344;344;!!!"

"JavaScript for Beginners",3432,4.7,"en","Kholin","P",                                    1,0,"31106;29798;13946;!6956;7151;!4776;4552;3812;3857;3747;!2789;2952;2943;2702;2644;2492;!2393;2238;1984;!1871;1717;!1636;1395;!1225;1107;!1213;1152;1139;1064;!1011;934;879;!826;764;!829;805;802;779;!993;772;725;!677;632;618;!607;616;548;!623;632;!504;!"

"Java. Introduction",6858,4.5,"en","Mendonça","P",                                          1,0,"15738;15956;10423;12008;12005;12244;!9963;9275;9117;8891;9324;!7122;7805;6902;6859;6753;6799;5918;!5936;4754;5263;!4367;4115;3991;3704;3722;3596;3462;3189;3227;2973;2746;!3567;3332;3352;3119;!3217;2897;2770;2552;2676;!2644;2198;2269;2085;2092;!2881;2857;!2877;!"

"Intro to Programming in Python",84164,4.7,"en","Adalbert","P",                         0,3,"2123;1578;1536;1372;1313;!1297;1314;1105;1080;1110;1092;!982;966;!1007;949;!965;937;!916;910;880;!954;946;935;927;934;912;912;751;739;!906;890;849;808;!869;856;823;793;!804;820;815;792;785;!829;827;765;797;765;770;!720;!806;748;778;753;714;673;!750;759;757;721;639;640;723;!731;645;716;628;625;!646;!745;743;743;713;!704;683;676;720;683;!723;707;629;!719;717;709;717;418;!715;709;709;653;!674;643;!603;!673;643;641;642;!718;691;575;581;236;!645;658;547;!663;661;659;621;586;!658;653;652;559;!620;648;!640;597;590;586;!635;631;578;629;561;618;!526;608;530;!660;653;645;644;609;!647;646;644;617;562;!565;569;616;559;603;!617;560;611;583;541;!551;486;442;504;481;477;514;487;437;426;!512;512;512;487;504;485;378;466;423;383;427;!489;487;485;485;481;480;392;270;!482;483;483;418;408;433;445;451;398;377;371;!77;76;75;69;71;!53;53;52;40;51;51;!41;4;!"

"Kotlin",2852,4.4,"en","Korolyov","P",                                                    0,0,"9983;!4920;!3962;!3476;!3042;!2630;!2560;!2305;!2198;!2015;!1771;!1746;!1746;!1575;!1412;!1349;!1107;!992;!1069;!1053;!1086;!1049;!1029;!989;!980;!980;!976;!967;!934;!846;!830;!847;!902;!851;!847;!802;!851;!801;!799;!694;!804;783;781;775;!691;!"

"Python. Functional Programming",2057,4.9,"en","Polshkov","P",                             0,0,"!!!!!!!472;!260;!219;!224;!221;!102;!144;!113;!85;!93;!116;!84;!64;!68;!63;!84;!65;!67;!71;62;!66;!60;!49;49;!46;!56;!47;!"

"Intro. to Comp. Sci. & OOP: Python",56730,5,"en","Mansuri","P",                          0,0,"!!362;265;258;!257;232;203;200;196;170;!197;169;170;177;!159;158;154;148;!148;139;!!107;136;120;129;!137;112;125;89;!127;125;!!115;106;65;!68;67;!84;74;56;!71;61;53;38;!!70;68;51;45;!67;51;46;!65;!62;47;48;!!!63;54;36;43;!45;!34;!!48;47;41;39;!38;36;31;!!61;44;46;!50;28;30;33;28;!!36;37;26;27;!27;27;22;24;!!30;26;18;18;!26;18;20;!!!33;27;26;!!!!"

"Java. Functional programming",1595,4.9,"en","Burylov","P",                               0,1,"!!2835;2656;!2506;2361;!2422;!2568;!2334;!1860;1719;!!1691;1634;!1755;1654;!1715;!1701;!1496;1460;!1560;!1771;!945;!!1281;!1268;1247;1241;!1460;!1344;!1445;!!1350;!1264;!1389;!1288;!1240;!!997;965;!1345;!1257;!1180;!1119;!!964;!1090;!!846;775;!912;871;!622;!615;!!594;551;604;!624;!759;706;!216;87;91;!"

